tag;id;section_name;station_name;catchment_name;data_from;domain_name;municipality;province;region;basin;longitude;latitude;catchment_area_km2;correlation_time_hr;curve_number;threshold_level_1;threshold_level_2;threshold_level_3;alert_zone;discharge_yellow;discharge_orange;discharge_red;threshold_source;discharge_estimation;quality_index_1_5;is_calibrated;error_relative_peakflow;nash_sutcliffe;source_sdd
sansobbia:albisola;-9999.0;Albisola;-;Sansobbia;Sansobbia, Albisola;LiguriaDomain;-;-;LIGURIA;-9999;8.50766;44.33048;57.0;2.3;-9999;240;320;-9999;3;102.0;180.0;245.0;Statistica;-9999;-9999;no;-9999.0;-9999;N.D.
bormida:altare;-9999.0;Altare;-;Bormida;Bormida, Altare;LiguriaDomain;-;-;LIGURIA;-9999;8.3275;44.32417;39.0;1.9;-9999;-9999;-9999;-9999;4;36.0;64.0;86.0;Statistica;-9999;-9999;no;-9999.0;-9999;N.D.
magra:ameglia;100.0;Ameglia;Ameglia Foce Magra;Magra;Magra, Ameglia;LiguriaDomain;AMEGLIA;SP;LIGURIA;47;9.9722;44.07884;1680.0;11.3;64;150;200;330;5;1871.0;3296.0;4478.0;Statistica;-9999;-9999;no;-9999.0;-9999;N.D.
teiro:bolsine;-9999.0;Bolsine;Bolsine;Teiro;Teiro, Bolsine;LiguriaDomain;-;-;LIGURIA;-9999;8.57472;44.37139;26.0;1.6;-9999;130;180;250;3;33.0;78.0;166.0;CF;Scala di deflusso;4;no;-0.01;0.43;ARPAL, 2020
aveto:cabanne;-9999.0;Cabanne;Cabanne;Aveto;Aveto, Cabanne;LiguriaDomain;-;-;LIGURIA;-9999;9.34017;44.48803;33.0;1.8;-9999;110;160;270;4;99.0;164.0;364.0;CF;Scala di deflusso;1;si;-0.24;0.64;ARPAL, 2018
bormida:cairo_montenotte;-9999.0;Cairo Montenotte;-;Bormida;Bormida, Cairo Montenotte;LiguriaDomain;-;-;LIGURIA;-9999;8.27083;44.40389;162.0;3.7;-9999;-9999;-9999;-9999;4;56.0;98.0;133.0;Statistica;-9999;-9999;no;-9999.0;-9999;N.D.
magra:calamazza;-9999.0;Calamazza;Calamazza;Magra;Magra, Calamazza;LiguriaDomain;Aulla;MS;LIGURIA;48;9.95089;44.19807;960.0;8.6;62;350;400;570;5;526.0;681.0;1357.0;CF;Scala di deflusso;4;si;-0.037;0.89;ARPAL, 2020
graveglia:caminata;-9999.0;Caminata;Caminata;Graveglia;Graveglia, Caminata;LiguriaDomain;-;-;LIGURIA;-9999;9.41009;44.34007;42.0;2.0;-9999;140;190;280;5;29.0;53.0;126.0;CF;Scala di deflusso;4;no;-0.01;0.23;ARPAL, 2020
entella:carasco;-9999.0;Carasco;Carasco;Entella;Entella, Carasco;LiguriaDomain;-;-;-;-9999;9.35;44.35;350.0;5.3;-9999;440;490;580;-9999;408.0;510.0;725.0;CF;Scala di deflusso;3;no;0.03;0.51;Arpal, 2020
erro:cartosio;-9999.0;Cartosio;Cartosio;Erro;Erro, Cartosio;LiguriaDomain;-;-;LIGURIA;-9999;8.42126;44.57334;195.0;4.0;-9999;270;320;430;2;346.0;417.0;574.0;CF;Scala di deflusso;3;no;-0.196;0.65;ARPAL, 2018
bormida:cengio;-9999.0;Cengio;Cengio;Bormida;Bormida, Cengio;LiguriaDomain;-;-;-;-9999;8.2;44.39;205.0;4.1;-9999;250;300;400;-9999;199.0;284.0;500.0;CF;Scala di deflusso;3;no;-0.06;<-1;Arpal, 2020
neva:cisano_sul_neva;-9999.0;Cisano sul Neva;Cisano sul Neva;Neva;Neva, Cisano sul Neva;LiguriaDomain;Savona;SV;LIGURIA;-9999;8.14611;44.08556;123.0;3.2;-9999;230;280;400;1;78.0;131.0;270.0;CF;Scala di deflusso;3;si;-0.143;0.85;ARPAL, 2020
trebbia:confine;-9999.0;Confine;-;Trebbia;Trebbia, Confine;LiguriaDomain;-;-;LIGURIA;-9999;9.29081;44.59318;138.0;3.4;-9999;-9999;-9999;-9999;5;289.0;508.0;690.0;Statistica;-9999;-9999;no;-9999.0;-9999;N.D.
quiliano:foce;-9999.0;Foce;-;Quiliano;Quiliano, Foce;LiguriaDomain;-;-;LIGURIA;-9999;8.44551;44.28053;52.0;2.2;-9999;-9999;-9999;-9999;3;76.0;133.0;181.0;Statistica;-9999;-9999;no;-9999.0;-9999;N.D.
merula:foce;-9998.0;Foce;-;Merula;Merula, Foce;LiguriaDomain;-;-;LIGURIA;-9999;8.14399;43.9477;59.0;2.3;-9999;-9999;-9999;-9999;1;72.0;128.0;173.0;Statistica;-9999;-9999;no;-9999.0;-9999;N.D.
castagnola:foce;-9999.0;Foce;-;Castagnola;Castagnola, Foce;LiguriaDomain;-;-;LIGURIA;-9999;9.51808;44.21366;24.0;1.6;-9999;-9999;-9999;-9999;5;33.0;57.0;78.0;Statistica;-9999;-9999;no;-9999.0;-9999;N.D.
boate:foce;-9999.0;Foce;-;Boate;Boate, Foce;LiguriaDomain;-;-;LIGURIA;-9999;9.22962;44.34568;25.0;1.6;-9999;-9999;-9999;-9999;5;27.0;48.0;65.0;Statistica;-9999;-9999;no;-9999.0;-9999;N.D.
recco:foce;-9999.0;Foce;-;Recco;Recco, Foce;LiguriaDomain;-;-;LIGURIA;-9999;9.14099;44.36079;22.0;1.5;-9999;-9999;-9999;-9999;3;26.0;46.0;63.0;Statistica;-9999;-9999;no;-9999.0;-9999;N.D.
cerusa:foce;-9999.0;Foce;-;Cerusa;Cerusa, Foce;LiguriaDomain;-;-;LIGURIA;-9999;8.74279;44.42626;23.0;1.5;-9999;-9999;-9999;-9999;3;89.0;157.0;213.0;Statistica;-9999;-9999;no;-9999.0;-9999;N.D.
lerone:foce;-9999.0;Foce;-;Lerone;Lerone, Foce;LiguriaDomain;-;-;LIGURIA;-9999;8.66517;44.39012;11.0;1.1;-9999;-9999;-9999;-9999;3;39.0;69.0;93.0;Statistica;-9999;-9999;no;-9999.0;-9999;N.D.
arrestra:foce;-9999.0;Foce;-;Arrestra;Arrestra, Foce;LiguriaDomain;-;-;LIGURIA;-9999;8.63372;44.37942;21.0;1.5;-9999;-9999;-9999;-9999;3;13.0;23.0;31.0;Statistica;-9999;-9999;no;-9999.0;-9999;N.D.
segno:foce;-9999.0;Foce;-;Segno;Segno, Foce;LiguriaDomain;-;-;LIGURIA;-9999;8.44066;44.26953;19.0;1.4;-9999;-9999;-9999;-9999;3;27.0;48.0;65.0;Statistica;-9999;-9999;no;-9999.0;-9999;N.D.
sciusa:foce;-9999.0;Foce;-;Sciusa;Sciusa, Foce;LiguriaDomain;-;-;LIGURIA;-9999;8.35642;44.17055;26.0;1.6;-9999;-9999;-9999;-9999;1;24.0;43.0;58.0;Statistica;-9999;-9999;no;-9999.0;-9999;N.D.
pora:foce;-9999.0;Foce;-;Pora;Pora, Foce;LiguriaDomain;-;-;LIGURIA;-9999;8.3419;44.16645;58.0;2.3;-9999;-9999;-9999;-9999;1;93.0;164.0;222.0;Statistica;-9999;-9999;no;-9999.0;-9999;N.D.
maremola:foce;-9999.0;Foce;-;Maremola;Maremola, Foce;LiguriaDomain;-;-;LIGURIA;-9999;8.28753;44.14933;45.0;2.1;-9999;-9999;-9999;-9999;1;86.0;151.0;205.0;Statistica;-9999;-9999;no;-9999.0;-9999;N.D.
varatello:foce;-9999.0;Foce;-;Varatello;Varatello, Foce;LiguriaDomain;-;-;LIGURIA;-9999;8.24576;44.11147;42.0;2.0;-9999;-9999;-9999;-9999;1;56.0;99.0;135.0;Statistica;-9999;-9999;no;-9999.0;-9999;N.D.
cervo:foce;-9999.0;Foce;-;Cervo;Cervo, Foce;LiguriaDomain;-;-;LIGURIA;-9999;8.10772;43.92053;21.0;1.5;-9999;-9999;-9999;-9999;1;25.0;44.0;59.0;Statistica;-9999;-9999;no;-9999.0;-9999;N.D.
prino:foce;-9999.0;Foce;-;Prino;Prino, Foce;LiguriaDomain;-;-;LIGURIA;-9999;7.99959;43.86771;42.0;2.0;-9999;-9999;-9999;-9999;1;64.0;113.0;154.0;Statistica;-9999;-9999;no;-9999.0;-9999;N.D.
san-lorenzo:foce;-9999.0;Foce;-;San-Lorenzo;San-Lorenzo, Foce;LiguriaDomain;-;-;LIGURIA;-9999;7.96385;43.85113;26.0;1.6;-9999;-9999;-9999;-9999;1;37.0;64.0;87.0;Statistica;-9999;-9999;no;-9999.0;-9999;N.D.
vallecrosia:foce;-9999.0;Foce;-;Vallecrosia;Vallecrosia, Foce;LiguriaDomain;-;-;LIGURIA;-9999;7.64012;43.78265;22.0;1.5;-9999;-9999;-9999;-9999;1;26.0;46.0;63.0;Statistica;-9999;-9999;no;-9999.0;-9999;N.D.
magra:fornola;-9999.0;Fornola;Fornola;Magra;Magra, Fornola;LiguriaDomain;-;-;-;-9999;9.91;44.14;1577.0;11.0;-9999;330;380;500;-9999;1835.0;3233.0;4391.0;Statistica;-9999;-9999;no;-9999.0;-9999;ARPAL, 2021
polcevera:genova-rivarolo;-9999.0;Genova-Rivarolo;-;Polcevera;Polcevera, Genova-Rivarolo;LiguriaDomain;Genova;GE;LIGURIA;-9999;8.88952;44.43788;136.0;3.4;-9999;-9999;-9999;-9999;3;339.0;597.0;809.0;Statistica;-9999;-9999;no;-9999.0;-9999;N.D.
nervia:isolabona;-9999.0;Isolabona;-;Nervia;Nervia, Isolabona;LiguriaDomain;-;-;LIGURIA;-9999;7.63762;43.87765;122.0;3.2;-9999;330;430;-9999;1;227.0;399.0;542.0;Statistica;-9999;-9999;no;-9999.0;-9999;N.D.
argentina:merelli;-9999.0;Merelli;Merelli;Argentina;Argentina, Merelli;LiguriaDomain;-;IM;LIGURIA;-9999;7.8476;43.8814;188.0;4.0;-9999;250;300;450;1;156.0;231.0;528.0;CF;Scala di deflusso;-9999;si;-9999.0;-9999;ARPAL, 2020
leira:molinetto;-9999.0;Molinetto;-;Leira;Leira, Molinetto;LiguriaDomain;-;-;LIGURIA;-9999;8.7463;44.4386;26.0;1.6;-9999;220;320;-9999;3;74.0;130.0;177.0;Statistica;-9999;-9999;no;-9999.0;-9999;N.D.
centa:molino_branca;-9999.0;Molino Branca;Molino Branca;Centa;Centa, Molino Branca;LiguriaDomain;Savona;SV;LIGURIA;-9999;8.21278;44.04917;432.0;5.9;-9999;350;400;480;1;578.0;769.0;1134.0;CF;Scala di deflusso;-9999;no;-9999.0;-9999;ARPAL, 2018
bormida:murialdo;-9999.0;Murialdo;Murialdo;Bormida;Bormida, Murialdo;LiguriaDomain;-;-;LIGURIA;-9999;8.15958;44.31334;132.0;3.4;-9999;150;200;250;2;81.0;155.0;262.0;CF;Scala di deflusso;2;si;-0.198;0.88;ARPAL, 2018
vara:nasceto;-9999.0;Nasceto;Nasceto 1;Vara;Vara, Nasceto;LiguriaDomain;-;SP;LIGURIA;-9999;9.65982;44.27796;202.0;4.1;63;400;450;550;5;185.0;255.0;417.0;CF;Scala di deflusso;4;si;-0.192;0.84;ARPAL, 2020
entella:panesi;-9999.0;Panesi;Panesi;Entella;Entella, Panesi;LiguriaDomain;-;GE;LIGURIA;-9999;9.35611;44.34222;364.0;5.4;-9999;230;280;390;5;489.0;608.0;907.0;CF;Scala di deflusso;4;si;-0.074;0.81;ARPAL, 2020
bisagno:passerella_firpo;-9999.0;Passerella Firpo;Genova-Firpo;Bisagno;Bisagno, Passerella Firpo;LiguriaDomain;Genova;GE;LIGURIA;-9999;8.95389;44.41083;93.0;2.9;-9999;200;250;420;3;138.0;240.0;712.0;CF;Scala di deflusso;3;si;-0.177;0.71;ARPAL, 2020
bormida:piana_crixia;-9999.0;Piana Crixia;Piana Crixia;Bormida;Bormida, Piana Crixia;LiguriaDomain;-;-;LIGURIA;-9999;8.31017;44.48368;270.0;4.7;-9999;400;500;530;2;235.0;336.0;366.0;CF;Scala di deflusso;3;si;-0.523;0.09;ARPAL, 2018
arroscia:pogli_dortovero;-9999.0;Pogli dOrtovero;Pogli d'Ortovero idrometro;Arroscia;Arroscia, Pogli dOrtovero;LiguriaDomain;Savona;SV;LIGURIA;-9999;8.06389;44.05444;202.0;4.1;-9999;300;350;500;1;227.0;301.0;552.0;CF;Scala di deflusso;3;si;-0.261;0.8;ARPAL, 2020
polcevera:pontedecimo;-9999.0;Pontedecimo;Genova - Pontedecimo;Polcevera;Polcevera, Pontedecimo;LiguriaDomain;-;-;-;-9999;8.9;44.49;52.0;2.2;-9999;230;280;420;-9999;337.0;497.0;1048.0;CF;Scala di deflusso;3;no;-0.04;0.38;Arpal, 2020
magra:pontremoli-s.giustina;-9999.0;Pontremoli-S.Giustina;Pontremoli-S.Giustina;Magra;Magra, Pontremoli-S.Giustina;LiguriaDomain;-;-;LIGURIA;-9999;9.89667;44.36195;152.0;3.6;-9999;90;140;210;5;220.0;390.0;709.0;CF;Scala di deflusso;3;no;-0.146;0.76;ARPAL, 2018
stura:rossiglione;-9999.0;Rossiglione;-;Stura;Stura, Rossiglione;LiguriaDomain;-;-;LIGURIA;-9999;8.6666;44.56597;88.0;2.8;-9999;-9999;-9999;-9999;2;229.0;403.0;546.0;Statistica;-9999;-9999;no;-9999.0;-9999;N.D.
trebbia:rovegno;-9999.0;Rovegno;Rovegno - Ponte;Trebbia;Trebbia, Rovegno;LiguriaDomain;-;-;-;-9999;9.28;44.57;114.0;3.1;-9999;350;400;550;-9999;277.0;337.0;543.0;CF;Scala di deflusso;3;no;0.0;0.68;Arpal, 2020
impero:rugge_di_pontedassio;-9999.0;Rugge di Pontedassio;-;Impero;Impero, Rugge di Pontedassio;LiguriaDomain;-;-;LIGURIA;-9999;8.00611;43.94167;73.0;2.6;-9999;160;270;-9999;1;118.0;207.0;281.0;Statistica;-9999;-9999;no;-9999.0;-9999;N.D.
lavagna:san_colombano;-9999.0;San Colombano;-;Lavagna;Lavagna, San Colombano;LiguriaDomain;-;-;LIGURIA;-9999;9.3112;44.3726;161.0;3.7;-9999;-9999;-9999;-9999;5;343.0;603.0;818.0;Statistica;-9999;-9999;no;-9999.0;-9999;N.D.
entella:sanmartino;-9999.0;SanMartino;S. Martino;Entella;Entella, SanMartino;LiguriaDomain;-;-;-;-9999;9.34;44.36;282.0;4.8;-9999;170;220;320;-9999;235.0;292.0;431.0;CF;Scala di deflusso;3;no;0.25;<-1;Arpal, 2020
letimbro:santuario_di_savona;-9999.0;Santuario di Savona;-;Letimbro;Letimbro, Santuario di Savona;LiguriaDomain;-;-;LIGURIA;-9999;8.43753;44.34555;31.0;1.8;-9999;200;320;-9999;3;42.0;74.0;100.0;Statistica;-9999;-9999;no;-9999.0;-9999;N.D.
scrivia:savignone;-9999.0;Savignone;-;Scrivia;Scrivia, Savignone;LiguriaDomain;-;-;LIGURIA;-9999;8.97833;44.55194;135.0;3.4;-9999;-9999;-9999;-9999;4;256.0;451.0;611.0;Statistica;-9999;-9999;no;-9999.0;-9999;N.D.
gromolo:sestri_levante;-9999.0;Sestri Levante;-;Gromolo;Gromolo, Sestri Levante;LiguriaDomain;-;-;LIGURIA;-9999;9.40972;44.27361;25.0;1.6;-9999;150;240;-9999;5;34.0;59.0;80.0;Statistica;-9999;-9999;no;-9999.0;-9999;N.D.
petronio:sestri_levante-sara;-9999.0;Sestri Levante-Sara;-;Petronio;Petronio, Sestri Levante-Sara;LiguriaDomain;-;-;LIGURIA;-9999;9.42972;44.27;56.0;2.3;-9999;-9999;-9999;-9999;5;89.0;156.0;212.0;Statistica;-9999;-9999;no;-9999.0;-9999;N.D.
aulella:soliera;-9999.0;Soliera;Soliera;Aulella;Aulella, Soliera;LiguriaDomain;-;-;LIGURIA;-9999;10.0628;44.19995;202.0;4.1;-9999;300;350;450;5;130.0;180.0;300.0;CF;Scala di deflusso;3;no;-0.02;0.03;ARPAL, 2020
orba:tiglieto_orba;-9999.0;Tiglieto Orba;Tiglieto;Orba;Orba, Tiglieto Orba;LiguriaDomain;-;-;LIGURIA;-9999;8.61648;44.5203;73.0;2.6;-9999;300;350;450;2;186.0;261.0;449.0;CF;Scala di deflusso;2;si;-0.188;0.76;ARPAL, 2018
armea:valle_armea-ponte;-9999.0;Valle Armea-Ponte;-;Armea;Armea, Valle Armea-Ponte;LiguriaDomain;-;-;LIGURIA;-9999;7.81889;43.83556;36.0;1.9;-9999;-9999;-9999;-9999;1;76.0;134.0;182.0;Statistica;-9999;-9999;no;-9999.0;-9999;N.D.
varenna:varenna;-9999.0;Varenna;-;Varenna;Varenna, Varenna;LiguriaDomain;Genova;GE;LIGURIA;-9999;8.82;44.43639;22.0;1.5;-9999;-9999;-9999;-9999;3;74.0;131.0;177.0;Statistica;-9999;-9999;no;-9999.0;-9999;N.D.
sturla:vignolo;-9999.0;Vignolo;-;Sturla;Sturla, Vignolo;LiguriaDomain;-;-;LIGURIA;-9999;9.37385;44.38154;102.0;3.0;-9999;320;410;-9999;5;242.0;426.0;578.0;Statistica;-9999;-9999;no;-9999.0;-9999;N.D.
