ID;SEC_CODE;SEC_NAME;BASIN;SEC_TAG;DOMAIN;ADMIN_B_L3;ADMIN_B_L2;ADMIN_B_L1;TYPE;LON;LAT;AREA;Q_THR1;Q_THR2;Q_THR3;SEC_RS;HMC_X;HMC_Y
1;29;Foglia3;Foglia;Foglia:Foglia3;Marche;Pesaro;PU;Marche;River;12,897710000000000;43,907555000000000;698,700000000000000;197,099999999999000;348,750000000000000;-9999,000000000000000;1126;72;286
2;174;Montecchio;Foglia;Foglia:Montecchio;Marche;'Sant''Angelo in Lizzola';PU;Marche;River;12,764225000000000;43,849812000000000;605,600000000000000;72,000000000000000;110,000000000000000;-9999,000000000000000;2821;92;241
3;102;Bronzo;Foglia;Foglia:Bronzo;Marche;Sassocorvaro;PU;Marche;River;12,512582000000000;43,808585999999900;238,300000000000000;50,000000000000000;105,000000000000000;-9999,000000000000000;1158;106;155
4;14;Arzilla;Arzilla;Arzilla:Arzilla;Marche;Pesaro;PU;Marche;River;12,894738000000000;43,839886000000000;49,000000000000000;10,000000000000000;18,000000000000000;-9999,000000000000000;1052;95;284
5;152;FoceMetauro;Metauro;Metauro:FoceMetauro;Marche;Fano;PU;Marche;River;13,053796000000000;43,826327999999900;1413,700000000000000;300,000000000000000;600,000000000000000;-9999,000000000000000;2673;101;335
6;17;Metauro;Metauro;Metauro:Metauro;Marche;Cartoceto;PU;Marche;River;12,967556000000000;43,762669000000000;1340,200000000000000;218,900000000000000;448,600000000000000;-9999,000000000000000;1074;121;308
7;151;Fossombrone;Metauro;Metauro:Fossombrone;Marche;Fossombrone;PU;Marche;River;12,825005000000000;43,690519000000000;1066,400000000000000;140,000000000000000;290,000000000000000;-9999,000000000000000;2669;145;260
8;106;Acqualagna;Metauro;Metauro:Acqualagna;Marche;Acqualagna;PU;Marche;River;12,684500000000000;43,628276999999900;621,700000000000000;104,000000000000000;188,000000000000000;-9999,000000000000000;1185;166;215
9;121;FoceCesano;Cesano;Cesano:FoceCesano;Marche;Senigallia;AN;Marche;River;13,171053000000000;43,749656999999900;402,699999999999000;102,000000000000000;140,000000000000000;-9999,000000000000000;1287;127;372
10;26;Misa;Misa;Misa:Misa;Marche;Senigallia;AN;Marche;River;13,164999000000000;43,662658999999900;329,800000000000000;35,200000000000000;60,700000000000000;-9999,000000000000000;1112;155;374
11;120;Nevola;Misa;Misa:Nevola;Marche;Corinaldo;AN;Marche;River;13,076929000000000;43,638522999999900;116,299999999999000;37,200000000000000;68,700000000000000;-9999,000000000000000;1283;162;345
12;3;SerraDeiConti;Misa;Misa:SerraDeiConti;Marche;Serra dei Conti;AN;Marche;River;13,028171000000000;43,547969999999900;75,900000000000000;15,500000000000000;30,100000000000000;-9999,000000000000000;1008;192;328
13;122;MonteSanVito;Esino;Esino:MonteSanVito;Marche;Monte San Vito;AN;Marche;River;13,290846000000000;43,609363999999900;60,100000000000000;21,399999999999900;33,700000000000000;-9999,000000000000000;1291;173;416
14;506;Moie;Esino;Esino:Moie;Marche;Maiolati Spontini;AN;Marche;River;13,125890999999900;43,496212000000000;785,399999999999000;46,000000000000000;77,000000000000000;-9999,000000000000000;1424;209;362
15;5;Camponocecchio;Esino;Esino:Camponocecchio;Marche;Genga;AN;Marche;River;12,980328999999900;43,406441000000000;604,399999999999000;104,000000000000000;144,000000000000000;-9999,000000000000000;1016;239;312
16;505;Colleponi;Esino;Esino:Colleponi;Marche;Genga;AN;Marche;River;12,904464000000000;43,433750000000000;203,300000000000000;56,200000000000000;79,700000000000000;-9999,000000000000000;1420;230;288
17;2;Fabriano;Esino;Esino:Fabriano;Marche;Fabriano;AN;Marche;River;12,966082999999900;43,338580999999900;137,800000000000000;25,000000000000000;35,000000000000000;-9999,000000000000000;1004;261;307
18;114;Aspio2;Aspio;Aspio:Aspio2;Marche;Castelfidardo;AN;Marche;River;13,566694000000000;43,493999000000000;132,800000000000000;16,000000000000000;38,250000000000000;-9999,000000000000000;1244;211;508
19;113;Aspio;Aspio;Aspio:Aspio;Marche;Camerano;AN;Marche;River;13,532907000000000;43,517220000000000;81,500000000000000;31,000000000000000;51,000000000000000;-9999,000000000000000;1240;203;496
20;165;Rostighello;Musone;Musone:Rostighello;Marche;Recanati;MC;Marche;River;13,538190000000000;43,438209999999900;422,500000000000000;45,000000000000000;78,000000000000000;-9999,000000000000000;2816;229;500
21;116;Passatempo;Musone;Musone:Passatempo;Marche;Osimo;AN;Marche;River;13,449279000000000;43,447353000000000;140,800000000000000;18,000000000000000;30,000000000000000;-9999,000000000000000;1252;226;469
22;7;Musone;Musone;Musone:Musone;Marche;Osimo;AN;Marche;River;13,388394000000000;43,475642999999900;180,699999999999000;26,000000000000000;40,619999999999900;-9999,000000000000000;1024;216;448
23;129;SanVettore;Musone;Musone:SanVettore;Marche;Cingoli;MC;Marche;River;13,191070000000000;43,399681000000000;98,299999999999900;4,000000000000000;6,000000000000000;-9999,000000000000000;1328;242;382
24;406;PortoRecanati;Potenza;Potenza:PortoRecanati;Marche;Porto Recanati;MC;Marche;River;13,651617000000000;43,415309999999900;775,600000000000000;113,000000000000000;146,000000000000000;-9999,000000000000000;1385;236;536
25;405;Monocchia;Potenza;Potenza:Monocchia;Marche;Recanati;MC;Marche;River;13,507626000000000;43,362727999999900;52,899999999999900;8,000000000000000;15,000000000000000;-9999,000000000000000;1381;254;490
26;9;Potenza1;Potenza;Potenza:Potenza1;Marche;San Severino Marche;MC;Marche;River;13,188516000000000;43,229492000000000;340,399999999999000;84,000000000000000;150,000000000000000;-9999,000000000000000;1032;298;382
27;132;Pioraco;Potenza;Potenza:Pioraco;Marche;Pioraco;MC;Marche;River;12,984678000000000;43,179192000000000;168,400000000000000;21,000000000000000;40,000000000000000;-9999,000000000000000;1352;315;315
28;154;FoceChienti;Chienti;Chienti:FoceChienti;Marche;Civitanova Marche;MC;Marche;River;13,735647000000000;43,291480999999900;1290,500000000000000;200,000000000000000;300,000000000000000;-9999,000000000000000;2680;277;565
29;12;Chienti2;Chienti;Chienti:Chienti2;Marche;Monte San Giusto;MC;Marche;River;13,590132000000000;43,260944000000000;887,600000000000000;100,000000000000000;150,000000000000000;-9999,000000000000000;1044;288;515
30;10;Chienti1;Chienti;Chienti:Chienti1;Marche;Tolentino;MC;Marche;River;13,371154000000000;43,232365000000000;677,700000000000000;70,000000000000000;110,000000000000000;-9999,000000000000000;1036;297;444
31;11;Fiastra;Chienti;Chienti:Fiastra;Marche;Tolentino;MC;Marche;River;13,402828000000000;43,225783999999900;111,400000000000000;42,000000000000000;116,000000000000000;-9999,000000000000000;1040;299;454
32;126;Fiastrone;Chienti;Chienti:Fiastrone;Marche;Camporotondo di Fiastrone;MC;Marche;River;13,261282000000000;43,145553999999900;145,400000000000000;20,000000000000000;40,000000000000000;-9999,000000000000000;1313;326;406
33;21;EteMorto;EteMorto;EteMorto:EteMorto;Marche;'Sant''Elpidio a Mare';FM;Marche;River;13,672077000000000;43,236271000000000;188,699999999999000;35,000000000000000;65,000000000000000;-9999,000000000000000;1092;296;543
34;146;PortoSElpidio;Tenna;Tenna:PortoSElpidio;Marche;'Porto Sant''Elpidio';FM;Marche;River;13,772406000000000;43,232677000000000;480,300000000000000;71,500000000000000;161,699999999999000;-9999,000000000000000;1612;298;574
35;19;Tenna;Tenna;Tenna:Tenna;Marche;Servigliano;FM;Marche;River;13,498032000000000;43,085856999999900;350,300000000000000;45,000000000000000;80,000000000000000;-9999,000000000000000;1084;346;485
36;22;EteVivo;EteVivo;EteVivo:EteVivo;Marche;Fermo;FM;Marche;River;13,713136000000000;43,135852999999900;131,000000000000000;30,000000000000000;60,000000000000000;-9999,000000000000000;1096;329;557
37;145;Rubbianello;Aso;Aso:Rubbianello;Marche;Monterubbiano;FM;Marche;River;13,718273000000000;43,058472000000000;235,400000000000000;120,000000000000000;150,000000000000000;-9999,000000000000000;1605;355;559
38;24;Aso;Aso;Aso:Aso;Marche;Ortezzano;FM;Marche;River;13,618459000000000;43,021431000000000;187,099999999999000;100,000000000000000;122,000000000000000;-9999,000000000000000;1104;367;525
39;23;Menocchia;Menocchia;Menocchia:Menocchia;Marche;'Montefiore dell''Aso';AP;Marche;River;13,776795999999900;43,034218000000000;65,299999999999900;15,000000000000000;40,000000000000000;-9999,000000000000000;1100;363;577
40;153;FoceTesino;Tesino;Tesino:FoceTesino;Marche;Grottammare;AP;Marche;River;13,870255000000000;42,978324000000000;119,700000000000000;30,000000000000000;60,000000000000000;-9999,000000000000000;2677;381;607
41;178;BrigliaVolpi;Tronto;Tronto:BrigliaVolpi;Marche;Colonnella;TE;Abruzzo;River;13,879376000000000;42,890372999999900;1152,299999999990000;160,000000000000000;275,000000000000000;-9999,000000000000000;2937;411;612
42;25;Tronto;Tronto;Tronto:Tronto;Marche;Ascoli Piceno;AP;Marche;River;13,651516000000000;42,852241999999900;941,299999999999000;107,000000000000000;221,000000000000000;-9999,000000000000000;1108;424;535
43;135;PonteDArli;Tronto;Tronto:PonteDArli;Marche;Acquasanta Terme;AP;Marche;River;13,461242000000000;42,798099999999900;461,000000000000000;35,200000000000000;141,699999999999000;-9999,000000000000000;1537;442;472
44;127;Visso;Nera;Nera:Visso;Marche;Visso;MC;Marche;River;13,086076000000000;42,930874000000000;124,000000000000000;10,000000000000000;21,000000000000000;-9999,000000000000000;1317;397;348
45;-9999;ConfluenzaMetauroCandigliano;Metauro;Metauro:ConfluenzaMetauroCandigliano;Marche;-;-;Marche;River;12,754400000000000;43,674100000000000;371,199999999999000;120,000000000000000;220,000000000000000;-9999,000000000000000;-9999;149;232
46;183;PianelloDiOstra;Misa;Misa:PianelloDiOstra;Marche;Ostra;AN;Marche;River;13,127034000000000;43,624583999999900;176,500000000000000;43,700000000000000;68,099999999999900;-9999,000000000000000;3072;161;368
47;-9999;ConfluenzaMisaNevola;Misa;Misa:ConfluenzaMisaNevola;Marche;-;-;Marche;River;13,151213000000000;43,649003999999900;329,000000000000000;43,000000000000000;90,000000000000000;-9999,000000000000000;-9999;156;373
48;184;FoceEsino;Esino;Esino:FoceEsino;Marche;Falconara Marittima;AN;Marche;River;13,371486000000000;43,641573999999900;1171,599999999990000;300,000000000000000;400,000000000000000;-9999,000000000000000;3073;163;440
49;-9999;Diga;Mercatale;Mercatale:Diga;Marche;-;-;-;Dam;12,490748999999900;43,783360999999900;229,500000000000000;46,000000000000000;100,000000000000000;-9999,000000000000000;-9999;114;150
50;-9999;Diga;Furlo;Furlo:Diga;Marche;-;-;-;Dam;12,730988999999900;43,649400000000000;650,399999999999000;110,000000000000000;200,000000000000000;-9999,000000000000000;-9999;157;230
51;-9999;Diga;SanLazzaro;SanLazzaro:Diga;Marche;-;-;-;Dam;12,767023999999900;43,678257000000000;1052,799999999990000;130,000000000000000;250,000000000000000;-9999,000000000000000;-9999;149;242
52;-9999;Diga;Tavernelle;Tavernelle:Diga;Marche;-;-;-;Dam;12,893151000000000;43,735100000000000;1248,799999999990000;160,000000000000000;300,000000000000000;-9999,000000000000000;-9999;131;284
53;-9999;Diga;Castreccioni;Castreccioni:Diga;Marche;-;-;-;Dam;13,160418000000000;43,380960000000000;87,799999999999900;4,000000000000000;6,000000000000000;-9999,000000000000000;-9999;248;373
54;-9999;Diga;Fiastrone;Fiastrone:Diga;Marche;-;-;-;Dam;13,181438999999900;43,056635000000000;78,500000000000000;20,000000000000000;40,000000000000000;-9999,000000000000000;-9999;356;380
55;-9999;Diga;Polverina;Polverina:Diga;Marche;-;-;-;Dam;13,100358000000000;43,083663000000000;287,399999999999000;25,000000000000000;50,000000000000000;-9999,000000000000000;-9999;347;353
56;-9999;Diga;Borgiano;Borgiano:Diga;Marche;-;-;-;Dam;13,202458999999900;43,146726000000000;395,600000000000000;40,000000000000000;80,000000000000000;-9999,000000000000000;-9999;326;387
57;-9999;Diga;LeGrazie;LeGrazie:Diga;Marche;-;-;-;Dam;13,268526000000000;43,188766999999900;588,000000000000000;60,000000000000000;100,000000000000000;-9999,000000000000000;-9999;312;409
58;-9999;Diga;Comunanza;Comunanza:Diga;Marche;-;-;-;Dam;13,376633999999900;42,891469999999900;59,600000000000000;40,000000000000000;80,000000000000000;-9999,000000000000000;-9999;411;445
59;-9999;Diga;SanRuffino;SanRuffino:Diga;Marche;-;-;-;Dam;13,388646000000000;43,011589999999900;137,099999999999000;35,000000000000000;70,000000000000000;-9999,000000000000000;-9999;371;449
60;-9999;Diga;Talvacchia;Talvacchia:Diga;Marche;-;-;-;Dam;13,509300000000000;42,780360000000000;123,099999999999000;40,000000000000000;80,000000000000000;-9999,000000000000000;-9999;448;488
61;-9999;Diga;Scandarello;Scandarello:Diga;Marche;-;-;-;Dam;13,265523000000000;42,638300000000000;42,799999999999900;18,000000000000000;30,000000000000000;-9999,000000000000000;-9999;494;408
62;-9999;Genica;Genica;Genica:Genica;Marche;Pesaro;PU;Marche;River;12,911716999999900;43,898080999999900;18,500000000000000;3,000000000000000;7,000000000000000;-9999,000000000000000;-9999;75;291
63;-9999;Trisungo;Tronto;Tronto:Trisungo;Marche;Arquata del Tronto;AP;Marche;River;13,311667000000000;42,774200000000000;330,000000000000000;34,000000000000000;100,000000000000000;-9999,000000000000000;-9999;450;423
64;-9999;Grisciano;Tronto;Tronto:Grisciano;Marche;Accumoli;RI;Lazio;River;13,268599999999900;42,729999999999900;270,000000000000000;32,000000000000000;75,000000000000000;-9999,000000000000000;-9999;463;408
65;-9999;Accumoli;Tronto;Tronto:Accumoli;Marche;Accumoli;RI;Lazio;River;13,252400000000000;42,700000000000000;228,000000000000000;30,000000000000000;72,000000000000000;-9999,000000000000000;-9999;475;403
66;-9999;Amatrice;Castellano;Castellano:Amatrice;Marche;Amatrice;RI;Lazio;River;13,284599999999900;42,630000000000000;31,000000000000000;6,000000000000000;15,000000000000000;-9999,000000000000000;-9999;498;414
67;-9999;Amatrice;Tronto;Tronto:Amatrice;Marche;Amatrice;RI;Lazio;River;13,291200000000000;42,632599999999900;57,000000000000000;8,000000000000000;25,000000000000000;-9999,000000000000000;-9999;497;417
68;-9999;PoggioVitellino;Tronto;Tronto:PoggioVitellino;Marche;Amatrice;RI;Lazio;River;13,267899999999900;42,659999999999900;142,000000000000000;28,000000000000000;65,000000000000000;-9999,000000000000000;-9999;488;409
69;-9999;Confluenza;Scandarello;Scandarello:Confluenza;Marche;-;-;-;River;13,272800000000000;42,649099999999900;44,000000000000000;19,000000000000000;31,000000000000000;-9999,000000000000000;-9999;492;410
70;-9999;Cornillo;Tronto;Tronto:Cornillo;Marche;-;-;-;River;13,280300000000000;42,639200000000000;89,000000000000000;9,000000000000000;34,000000000000000;-9999,000000000000000;-9999;495;413
71;-9999;Libertino;Tronto;Tronto:Libertino;Marche;-;-;-;River;13,257000000000000;42,693899999999900;205,000000000000000;30,000000000000000;70,000000000000000;-9999,000000000000000;-9999;476;405
72;-9999;Confluenza;Rio;Rio:Confluenza;Marche;-;-;-;River;13,260700000000000;42,734099999999900;18,000000000000000;17,300000000000000;26,000000000000000;-9999,000000000000000;-9999;462;405
73;189;PescaraDelTronto;Tronto;Tronto:PescaraDelTronto;Marche;-;-;-;River;13,268000000000000;42,742300000000000;290,000000000000000;33,000000000000000;95,000000000000000;-9999,000000000000000;3096;460;408
74;-9999;Confluenza;Camartina;Camartina:Confluenza;Marche;Arquata del Tronto;AP;Marche;River;13,300400000000000;42,773000000000000;22,000000000000000;27,000000000000000;39,000000000000000;-9999,000000000000000;-9999;450;418
75;188;PoggioCasoli;Tronto;Tronto:PoggioCasoli;Marche;-;-;-;River;13,265516999999900;42,686641999999900;197,000000000000000;30,000000000000000;70,000000000000000;-9999,000000000000000;3095;479;408
76;-9999;AcquasantaTerme;Tronto;Tronto:AcquasantaTerme;Marche;-;-;-;River;13,409369999999900;42,771220000000000;403,000000000000000;40,000000000000000;125,000000000000000;-9999,000000000000000;-9999;451;455
77;-9999;Castelsantangelo;Nera;Nera:Castelsantangelo;Marche;-;-;-;River;-9999,000000000000000;-9999,000000000000000;43,799999999999900;5,400000000000000;10,300000000000000;-9999,000000000000000;2700;410;370
78;-9999;PonteTavola;Nera;Nera:PonteTavola;Marche;-;-;-;River;-9999,000000000000000;-9999,000000000000000;48,500000000000000;3,500000000000000;6,500000000000000;-9999,000000000000000;2699;406;365
79;-9999;PonteGaribaldi;Misa;Misa:PonteGaribaldi;Marche;-;-;-;River;-9999,000000000000000;-9999,000000000000000;379,000000000000000;50,000000000000000;110,000000000000000;-9999,000000000000000;3147;137;390
80;-9999;PortaCartara;Castellano;Castellano:PortaCartara;Marche;-;-;-;River;-9999,000000000000000;-9999,000000000000000;163,599999999999000;40,000000000000000;80,000000000000000;-9999,000000000000000;3247;425;509
81;-9999;SMariaGoretti;Tesino;Tesino:SmariaGoretti;Marche;-;-;-;River;-9999,000000000000000;-9999,000000000000000;76,400000000000000;20,000000000000000;50,000000000000000;-9999,000000000000000;1088;385;556
82;-9999;SMicheleAlFiume;Cesano;Cesano:SmicheleAlFiume;Marche;-;-;-;River;-9999,000000000000000;-9999,000000000000000;282,399999999999000;65,000000000000000;90,000000000000000;-9999,000000000000000;1080;153;324
83;-9999;Valmir;Aso;Aso:Valmir;Marche;-;-;-;River;-9999,000000000000000;-9999,000000000000000;222,400000000000000;110,000000000000000;140,000000000000000;-9999,000000000000000;3063;360;545
84;186;PassoRipe;Misa;Misa:PassoRipe;Marche;Trecastelli;AN;Marche;River;13,123652999999900;43,653410999999900;142,199999999999000;35,399999999999900;49,000000000000000;-9999,000000000000000;3145;386;466
85;187;PonteBarchetta;Esino;Esino:PonteBarchetta;Marche;Jesi;AN;Marche;River;13,305607999999900;43,550803000000000;975,200000000000000;83,000000000000000;142,000000000000000;-9999,000000000000000;3146;443;465
86;-9999;Diga;VillaPera;VillaPera:Diga;Marche;-;-;Chienti;Dam;13,440189999999900;42,964530000000000;94,200000000000000;20,000000000000000;45,000000000000000;-9999,000000000000000;-9999;412;370
87;-9999;Diga;Colombara;Colombara:Diga;Marche;-;-;Marche;Dam;13,436980000000000;42,795160000000000;448,199999999999000;40,000000000000000;135,000000000000000;-9999,000000000000000;-9999;396;355
88;190;Nocelleto;Rapegna;Rapegna:Nocelleto;Marche;Castelsantangelo sul Nera;MC;Marche;River;13,151916000000000;42,886567999999900;16,500000000000000;1,000000000000000;2,000000000000000;-9999,000000000000000;3149;413;438
89;192;MadonnaUccelletto;Ussita;Ussita:MadonnaUccelletto;Marche;Visso;MC;Marche;River;13,107631000000000;42,934736000000000;44,100000000000000;4,300000000000000;8,300000000000000;-9999,000000000000000;3154;349;346
90;948;SGiorgioIsola;Aso;Aso:SgiorgioIsola;Marche;Montemonaco;AP;Marche;River;13,357002000000000;42,885005999999900;55,100000000000000;9,600000000000000;22,300000000000000;-9999,000000000000000;3246;372;445
91;933;PonteLaTrave;Chienti;Chienti:PonteLaTrave;Marche;Camerino;MC;Marche;River;13,080700000000000;43,078741999999900;231,800000000000000;8,000000000000000;18,500000000000000;-9999,000000000000000;3244;157;360
92;907;Friano;Tenna;Tenna:Friano;Marche;Amandola;FM;Marche;River;13,379049999999900;43,007069000000000;133,300000000000000;30,000000000000000;60,000000000000000;-9999,000000000000000;3245;191;421
93;350;Pontedazzo;Burano;Burano:Pontedazzo;Marche;Cantiano;PU;Marche;River;12,620647000000000;43,488925999999900;114,370000000000000;15,600000000000000;33,289999999999900;-9999,000000000000000;3249;212;193
94;353;CagliPonteCavour;Burano;Burano:CagliPonteCavour;Marche;Cagli;PU;Marche;River;12,648742000000000;43,542636899999900;129,860000000000000;22,899999999999900;40,700000000000000;-9999,000000000000000;3255;194;203
95;352;CagliCivita;Bosso;Bosso:CagliCivita;Marche;Cagli;PU;Marche;River;12,644007999999900;43,546799000000000;124,530000000000000;25,000000000000000;41,200000000000000;-9999,000000000000000;3254;192;201
96;355;Mercatale;Foglia;Foglia:Mercatale;Marche;Sassocorvaro;PU;Marche;River;12,463892000000000;43,767155000000000;174,210000000000000;44,399999999999900;81,200000000000000;-9999,000000000000000;3256;119;141
97;356;SAngeloinVado2;Metauro;Metauro:SangeloinVado2;Marche;SAngeloinVado;PU;Marche;River;12,411538999999900;43,665680000000000;138,490000000000000;50,000000000000000;141,000000000000000;-9999,000000000000000;3257;153;123
